preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
O=S(=O)(NCCc1c(C(c2ccc(F)cc2)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(C(F)(F)F)cc2)[nH]c2ccccc12)c1ccc(C(F)(F)F)cc1,CHEMBL4167098,5.36,inactive
CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL38439,5.82,inactive
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,CHEMBL460026,4.27,inactive
O=C1c2ccccc2OCC1c1ccc(Oc2ccccc2)cc1,CHEMBL2011177,5.62,inactive
CCCCCCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824745,4.79,inactive
Cc1cc(O)c2c(c1-c1ccc3c(c1O)C(=O)C[C@](C)([C@@H]1OC(=O)C[C@@H]1C)O3)O[C@](C)([C@@H]1OC(=O)C[C@H]1O)CC2=O,CHEMBL586557,4.61,inactive
Clc1ccccc1-c1csc(-c2ncccn2)n1,CHEMBL4229012,5.77,inactive
Clc1ccc(-c2[nH]c3cc4c(cc3c2Cn2ccnc2)OCO4)cc1,CHEMBL4172433,5.58,inactive
O=c1c(Cc2ccncc2)coc2cc(F)ccc12,CHEMBL3793091,5.3,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1)c1cc2ccccc2oc1=O,CHEMBL3941042,4.9,inactive
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,CHEMBL496634,4.78,inactive
Oc1ccc(Cl)cc1-c1csc(-c2ncccn2)n1,CHEMBL4228495,5.45,inactive
O=S(=O)(NCCc1c(C(c2ccccc2O)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)cc1,CHEMBL4169784,5.38,inactive
O=C1c2ccc(O)cc2CCC1Cc1ccncc1,CHEMBL91818,5.21,inactive
COc1ccc2c(c1)OC(c1ccccc1)CC2n1cnnc1,CHEMBL184952,4.5,inactive
CS[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL165342,5.13,inactive
COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,CHEMBL93666,5.1,inactive
COc1ncnc(NS(=O)(=O)c2ccc(N=CCC(=O)c3cc4ccccc4oc3=O)cc2)c1OC,CHEMBL3926174,5.33,inactive
O=c1cc(OCc2cn(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)nn2)c2ccccc2o1,CHEMBL2430498,5.75,inactive
COc1ccc(CCNS(=O)(=O)c2ccc(-n3cc(-c4ccccc4)nn3)cc2)cc1OC,CHEMBL2430499,5.34,inactive
COc1ccc(CCNS(=O)(=O)c2ccc(-n3cc(COc4ccc([N+](=O)[O-])cc4)nn3)cc2)cc1OC,CHEMBL2430501,5.57,inactive
Brc1ccc2c(c1)CC/C2=C\c1ccncc1,CHEMBL366773,5.47,inactive
Brc1ccc2c(c1)CC/C2=C/c1cccnc1,CHEMBL176118,5.13,inactive
COc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL491215,5.82,inactive
C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630911,5.16,inactive
N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,CHEMBL255108,5.81,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1Cc1ccc(O)cc1,CHEMBL1915401,4.24,inactive
COc1ccc(S(=O)(=O)Nc2ccc(N=Nc3ccccc3)cc2)c(OC)c1,CHEMBL4870604,5.8,inactive
Cc1ccc(S(=O)(=O)NCCc2c(C(c3ccccc3O)c3[nH]c4ccccc4c3CCNS(=O)(=O)c3ccc(C)cc3)[nH]c3ccccc23)cc1,CHEMBL4162163,5.39,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCC1CCCCC1,CHEMBL204501,5.92,inactive
O=c1c2ccccc2oc2ccc(Cn3ccnc3)cc12,CHEMBL1083354,5.1,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(CCCN)cc1)c1ccccc1,CHEMBL3422051,5.13,inactive
COc1cc(C2CC(=O)Oc3cc4c(cc32)OCO4)cc(OC)c1OC(C)=O,CHEMBL3827037,4.92,inactive
Fc1ccc(-c2nc(-c3cccnc3)cs2)cc1,CHEMBL1957210,4.75,inactive
CCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824756,4.96,inactive
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cc(COc3ccc([N+](=O)[O-])cc3)nn2)cc1,CHEMBL1824751,5.11,inactive
Cc1ccc(OCc2cn(C(c3ccc(C#N)cc3)c3ccc(C#N)cc3)nn2)cc1,CHEMBL1824752,4.96,inactive
c1ccc(C(c2ccccc2)n2cc(C3CCCCC3)nn2)cc1,CHEMBL1824760,4.86,inactive
c1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824762,4.5,inactive
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,5.42,inactive
CC(=C(c1ccc(O)cc1)c1ccc(OCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,CHEMBL3925065,5.01,inactive
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL2431526,5.41,inactive
CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL203869,5.55,inactive
Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,CHEMBL294360,5.66,inactive
COc1cc(C2CC(=O)Oc3cc4c(cc32)OCO4)cc(OC)c1O,CHEMBL3623228,4.92,inactive
NS(=O)(=O)Oc1ccc(C(c2ccc(OS(N)(=O)=O)cc2)n2cncn2)cc1,CHEMBL479942,5.52,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1)c1ccc2c(c1)Nc1ccccc1S2,CHEMBL4068601,5.05,inactive
O=S(=O)(NCCc1c(C(c2ccc(C(F)(F)F)cc2)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)cc1,CHEMBL4163649,5.5,inactive
Nc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL2333337,5.19,inactive
Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,CHEMBL324070,5.27,inactive
O=[N+]([O-])c1cccc(S(=O)(=O)NCc2cccc(CNS(=O)(=O)c3cccc([N+](=O)[O-])c3)c2)c1,CHEMBL4439561,5.56,inactive
COc1ccc2c(c1)CCC/C2=C/c1cccnc1,CHEMBL176098,5.4,inactive
COC1=C2CC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@@H]2C1,CHEMBL2179107,5.28,inactive
CC12CCC3C(CC=C4CCCCC43CO)C1CCC2O,CHEMBL308829,4.21,inactive
CCCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL29338,5.77,inactive
