preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
CN(c1ccc(NC(=O)c2ccc(C#N)cc2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL409271,6.36,active
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,CHEMBL7162,6.17,active
CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O,CHEMBL73279,9.44,active
CN(c1ccc([N+](=O)[O-])cc1OCC1CCCCC1)S(C)(=O)=O,CHEMBL204502,6.02,active
CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,CHEMBL41761,7.39,active
C=CC[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,CHEMBL3818728,6.23,active
N#Cc1ccc(Oc2cccnc2)cc1Oc1cccnc1,CHEMBL1956179,6.52,active
CCCCC1=C2CC(=O)C=CC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL8646,6.7,active
O=S(=O)(N1CCN(c2ccc(/C=C/c3cc(F)cc(-c4ccncc4)c3)cc2)CC1)C(F)(F)F,CHEMBL4128368,6.0,active
COc1ccc(-c2cc(Cn3ccnc3)c3ccc4[nH]ccc4c3n2)cc1,CHEMBL2442757,6.34,active
COc1ccc(-c2cc(CO)c3ccc4[nH]ccc4c3n2)cc1,CHEMBL2440145,6.04,active
COc1ccc2cc(C(c3ccc([N+](=O)[O-])cc3)n3cncn3)oc2c1,CHEMBL199334,6.22,active
CCCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,CHEMBL88918,6.1,active
c1ccc(CC(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL491222,6.02,active
Clc1ccc(CN(Cc2ccc(Cl)s2)n2ccnc2)c(Cl)c1,CHEMBL517347,6.5,active
N#Cc1cc(Cn2cncn2)cc(-c2ccc(F)cc2)c1,CHEMBL599456,7.72,active
O=c1c2cccnc2oc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,CHEMBL1083970,7.0,active
CN(C)S(=O)(=O)Oc1ccc(-c2cc(Cn3cncn3)ccc2C#N)cc1Cl,CHEMBL599238,8.62,active
N#Cc1ccc(N(Cc2ccc3c(Br)c(OS(N)(=O)=O)ccc3c2)n2cnnc2)cc1,CHEMBL3622064,9.6,active
NS(=O)(=O)Oc1ccc(-c2cccc(Cn3cncn3)c2)cc1Cl,CHEMBL598009,7.16,active
CCCC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL29521,6.22,active
COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,CHEMBL10137,6.21,active
CC(C)(C#N)c1cc(Cn2cncn2)cc(-c2ccc(OS(N)(=O)=O)c(Cl)c2)c1,CHEMBL604716,9.52,active
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CHEMBL104,8.74,active
COc1ccc2c(c1)O[C@@H](c1ccccc1)C[C@@H]2n1ccnc1,CHEMBL4583456,7.04,active
N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2F)n2cnnc2)cc1,CHEMBL4465348,9.7,active
